********************************************************************
*                                                                  *
* Surface Mount Top Report                                         *
*                                                                  *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\23-325-0\23-325-0.MAX  *
* Mon Jul 29 15:28:08 2024                                         *
*                                                                  *
********************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X INSERT   Y INSERT   ROTATION
------------------------------------------------------------------------------------------------------------
513                                          02.RIF-MONT-SMD                 13.34 mm   121.29 mm 0       
514                                          02.RIF-MONT-SMD                 78.74 mm   123.19 mm 0       
515                                          02.RIF-MONT-SMD                 1.27 mm    6.35 mm   0       
BZ1        KTG0905CL        BZ               KTG0905CL-KINGSTATE             32.39 mm   27.31 mm  270     
D15        1N4148WT         DIODE_1          SOD523F1-2                      36.20 mm   73.66 mm  0       
D16                                          SOD523F1-2                      60.33 mm   116.84 mm 0       
D17                                          SOD523F1-2                      60.33 mm   114.30 mm 180     
D18                                          SOD523F1-2                      67.95 mm   93.98 mm  0       
D19                                          SOD523F1-2                      64.77 mm   93.98 mm  0       
DL1        LED VERDE        LED              LED0805-MET-12                  66.04 mm   26.04 mm  270     
DL2        LED VERDE        LED              LED0805-MET-12                  67.95 mm   26.04 mm  270     
DL3        GIALLO           LED_1            LED0805-MET-12                  16.51 mm   69.22 mm  90      
DL4        GIALLO           LED_1            LED0805-MET-12                  50.17 mm   86.36 mm  180     
DL5        GIALLO           LED_1            LED0805-MET-12                  78.74 mm   71.12 mm  180     
DL6        GIALLO           LED_1            LED0805-MET-12                  78.74 mm   69.22 mm  180     
DL7        GIALLO           LED_1            LED0805-MET-12                  78.74 mm   67.31 mm  180     
DL8        GIALLO           LED_1            LED0805-MET-12                  78.74 mm   64.77 mm  180     
DL9        GIALLO           LED_1            LED0805-MET-12                  78.74 mm   62.23 mm  180     
DL10       BLU              LED_1            LED0805-MET-12                  21.59 mm   34.29 mm  180     
F1         154 002T         FUSE1-2          LITTLEFUSE-154                  73.03 mm   6.35 mm   90      
J2         54548-2071       FPC_MOLEX_5454.. 54548-2071-MOLEX                28.83 mm   119.95 mm 0       
L1         DLW32SH101XF2L   CHOKE_DLW32SH1.. DLW32S_MURATA                   64.77 mm   7.62 mm   270     
L2         BLM18BD102       L_1              SMD0603                         67.31 mm   20.32 mm  90      
L3         DLW5BTM102SQ2L   CHOKE_CM_0       DLW5BT-MURATA                   52.71 mm   115.57 mm 90      
L4         47uH             L                SRU1038                         46.99 mm   3.81 mm   270     
L5         8.2uH            L                SRR4528A-BOURNS                 37.47 mm   11.43 mm  180     
L6         BLM18BD102       L_1              SMD0603                         30.48 mm   36.83 mm  0       
L7         BLM18BD102       L_1              SMD0603                         40.64 mm   32.39 mm  90      
Q1         MOS-N-PWR        FDS3672          LFPAK-UNIVERSAL                 79.38 mm   35.56 mm  270     
Q2         2N7002L          MOSFET_N_8       SOT23-123                       62.87 mm   29.85 mm  90      
Q3         2N7002L          MOSFET_N_8       SOT23-123                       55.88 mm   20.32 mm  90      
Q4         2N7002L          MOSFET_N_8       SOT23-123                       44.45 mm   25.40 mm  270     
Q5         2N7002L          MOSFET_N_8       SOT23-123                       25.40 mm   70.49 mm  90      
Q6         2N7002L          MOSFET_N_8       SOT23-123                       57.15 mm   82.55 mm  90      
Q7         2N7002L          MOSFET_N_8       SOT23-123                       52.07 mm   82.55 mm  90      
Q8         ZXMS6004FFTA     MN               SOT23MO2                        53.98 mm   71.12 mm  90      
Q9         2N7002L          MOSFET_N_8       SOT23-123                       54.61 mm   60.96 mm  270     
Q10        ZXMS6004FFTA     MN               SOT23MO2                        59.06 mm   71.12 mm  90      
Q11        2N7002L          MOSFET_N_8       SOT23-123                       50.17 mm   99.70 mm  90      
Q12        2N7002L          MOSFET_N_8       SOT23-123                       84.46 mm   97.16 mm  180     
Q13        2N7002L          MOSFET_N_8       SOT23-123                       57.15 mm   66.68 mm  270     
Q14        2N7002L          MOSFET_N_8       SOT23-123                       67.31 mm   66.68 mm  270     
Q15        2N7002L          MOSFET_N_8       SOT23-123                       62.23 mm   66.68 mm  270     
Q16        2N7002L          MOSFET_N_8       SOT23-123                       60.33 mm   53.34 mm  0       
Q17        2N7002L          MOSFET_N_8       SOT23-123                       64.77 mm   53.34 mm  0       
Q18        2N7002L          MOSFET_N_8       SOT23-123                       55.88 mm   53.34 mm  0       
Q19        2N7002L          MOSFET_N_8       SOT23-123                       51.44 mm   53.34 mm  0       
Q20        2N7002L          MOSFET_N_8       SOT23-123                       69.22 mm   53.34 mm  0       
Q21        2N7002L          MOSFET_N_8       SOT23-123                       57.79 mm   29.85 mm  90      
Q22        2N7002L          MOSFET_N_8       SOT23-123                       52.71 mm   29.85 mm  90      
Q23        2N7002L          MOSFET_N_8       SOT23-123                       47.63 mm   29.85 mm  90      
Q24        2N7002L          MOSFET_N_8       SOT23-123                       23.50 mm   29.21 mm  180     
R1         0R1              R                CRM2010-BOURNS                  81.28 mm   28.58 mm  90      
R2         18K              R                SMD0603                         69.85 mm   26.04 mm  270     
R3         2K2              R                SMD0805-MET                     66.04 mm   29.85 mm  270     
R4         10K              R                SMD0603                         74.30 mm   34.29 mm  90      
R5         10K              R                SMD0603                         64.14 mm   26.04 mm  270     
R6         2K2              R                SMD0805-MET                     67.95 mm   29.85 mm  270     
R7         2K2              R                SMD0805-MET                     69.85 mm   29.85 mm  90      
R8         2K2              R                SMD0603                         45.72 mm   109.86 mm 0       
R9         1K               R                SMD0603                         33.66 mm   107.95 mm 0       
R10        100K             R                SMD1206                         59.06 mm   8.89 mm   270     
R11        33K              R                SMD1206                         59.06 mm   14.61 mm  270     
R12        33K              R                SMD1206                         59.69 mm   20.96 mm  90      
R13        1R3              RES              SMD1206                         55.25 mm   6.99 mm   270     
R14        33K              R                SMD1206                         43.18 mm   30.48 mm  90      
R15        33R              R                SMD0603                         69.22 mm   10.80 mm  270     
R16        120R             R                SMD0603                         69.22 mm   20.32 mm  270     
R17        470R             R                SMD0603                         62.87 mm   21.59 mm  90      
R18        470R             R                SMD0603                         69.22 mm   17.15 mm  90      
R19        470R             R                SMD0603                         69.22 mm   13.97 mm  90      
R20        560R             R                SMD0603                         8.26 mm    108.59 mm 180     
R21        3K3              R                SMD0603                         0.64 mm    59.69 mm  0       
R22        10K              R                SMD0603                         8.89 mm    53.98 mm  0       
R23        1K               R                SMD0603                         13.34 mm   53.98 mm  0       
R24        10K              R                SMD0603                         5.72 mm    61.60 mm  0       
R25        100K             R                SMD0603                         0.64 mm    61.60 mm  0       
R26        10K              R                SMD0603                         5.72 mm    64.14 mm  0       
R27        3K3              R                SMD0603                         16.51 mm   57.79 mm  0       
R28        3K3              R                SMD0603                         5.72 mm    66.68 mm  0       
R29        10K              R                SMD0603                         16.51 mm   55.88 mm  0       
R30        10K              R                SMD0603                         0.64 mm    55.88 mm  0       
R31        560R             R                SMD0603                         4.45 mm    53.98 mm  180     
R32        560R             R                SMD0603                         0.64 mm    53.98 mm  180     
R33        3K3              R                SMD0603                         8.89 mm    66.68 mm  0       
R34        10K              R                SMD0603                         12.70 mm   61.60 mm  0       
R35        1K               R                SMD0603                         16.51 mm   64.14 mm  0       
R36        100K             R                SMD0603                         8.89 mm    64.14 mm  0       
R37        3K3              R                SMD0603                         12.70 mm   64.14 mm  0       
R38        560R             R                SMD0603                         12.07 mm   102.24 mm 180     
R39        3K3              R                SMD0603                         0.64 mm    35.56 mm  0       
R40        10K              R                SMD0603                         5.08 mm    33.02 mm  0       
R41        100K             R                SMD0603                         0.64 mm    33.66 mm  0       
R42        10K              R                SMD0603                         3.81 mm    25.40 mm  180     
R43        1K               R                SMD0603                         16.51 mm   25.40 mm  0       
R44        10K              R                SMD0603                         5.08 mm    34.93 mm  0       
R45        3K3              R                SMD0603                         0.64 mm    24.13 mm  0       
R46        3K3              R                SMD0603                         0.64 mm    27.94 mm  0       
R47        10K              R                SMD0603                         16.51 mm   27.31 mm  0       
R48        10K              R                SMD0603                         3.81 mm    27.31 mm  180     
R49        3K3              R                SMD0603                         8.89 mm    36.83 mm  0       
R50        10K              R                SMD0603                         16.51 mm   33.02 mm  180     
R51        1K               R                SMD0603                         16.51 mm   34.93 mm  0       
R52        100K             R                SMD0603                         8.89 mm    34.93 mm  0       
R53        3K3              R                SMD0603                         12.70 mm   34.93 mm  0       
R54        12K              R                SMD0603                         16.51 mm   31.12 mm  180     
R55        10K              R                SMD0603                         16.51 mm   29.21 mm  180     
R56        560R             R                SMD0603                         12.07 mm   95.89 mm  180     
R57        3K3              R                SMD0603                         0.64 mm    46.99 mm  0       
R58        10K              R                SMD0603                         8.89 mm    38.74 mm  0       
R59        1K               R                SMD0603                         16.51 mm   38.74 mm  0       
R60        10K              R                SMD0603                         4.45 mm    46.99 mm  0       
R61        100K             R                SMD0603                         0.64 mm    48.90 mm  0       
R62        10K              R                SMD0603                         4.45 mm    48.90 mm  0       
R63        3K3              R                SMD0603                         16.51 mm   40.64 mm  0       
R64        3K3              R                SMD0603                         0.64 mm    39.37 mm  180     
R65        10K              R                SMD0603                         0.64 mm    41.28 mm  180     
R66        10K              R                SMD0603                         0.64 mm    43.18 mm  0       
R67        1K               R                SMD0603                         16.51 mm   52.71 mm  0       
R68        10K              R                SMD0603                         12.70 mm   46.99 mm  0       
R69        1K               R                SMD0603                         16.51 mm   50.80 mm  0       
R70        3K3              R                SMD0603                         8.26 mm    51.44 mm  0       
R71        100K             R                SMD0603                         8.26 mm    48.90 mm  0       
R72        3K3              R                SMD0603                         12.70 mm   48.90 mm  0       
R73        12K              R                SMD0603                         16.51 mm   46.99 mm  180     
R74        10K              R                SMD0603                         16.51 mm   48.90 mm  0       
R75        2K2              R                SMD1206                         33.02 mm   104.14 mm 0       
R76        1K               R                SMD0603                         45.72 mm   104.78 mm 180     
R77        2K2              R                SMD1206                         33.02 mm   93.35 mm  0       
R78        1K               R                SMD0603                         45.72 mm   93.35 mm  180     
R79        2K2              R                SMD1206                         33.02 mm   81.92 mm  0       
R80        1K               R                SMD0603                         45.72 mm   81.92 mm  180     
R81        2K2              R                SMD0603                         22.23 mm   70.49 mm  270     
R82        1K               R                SMD0603                         20.32 mm   70.49 mm  90      
R83        1K               R                SMD0603                         18.42 mm   70.49 mm  90      
R84        68K              R                SMD0603                         29.21 mm   70.49 mm  270     
R85        2K2              R                SMD1206                         33.02 mm   99.06 mm  0       
R86        1K               R                SMD0603                         45.72 mm   99.06 mm  180     
R87        2K2              R                SMD1206                         33.02 mm   87.63 mm  0       
R88        1K               R                SMD0603                         45.72 mm   87.63 mm  180     
R89        2K2              R                SMD1206                         33.02 mm   76.84 mm  0       
R90        1K               R                SMD0603                         45.72 mm   76.84 mm  180     
R91        2K2              R                SMD1206                         33.02 mm   71.12 mm  0       
R92        1K               R                SMD0603                         45.72 mm   71.12 mm  180     
R94        33K              R                SMD1206                         50.17 mm   78.74 mm  180     
R95        33K              R                SMD1206                         55.25 mm   86.36 mm  180     
R96        680R             R                SMD0603                         50.17 mm   88.27 mm  180     
R97        330R             R                SMD1206                         50.17 mm   75.57 mm  0       
R98        330R             R                SMD1206                         43.82 mm   61.60 mm  270     
R99        330R             R                SMD1206                         46.99 mm   61.60 mm  270     
R100       10K              R                SMD1206                         39.37 mm   121.29 mm 270     
R101       33K              R                SMD1206                         53.34 mm   66.04 mm  270     
R102       100K             R                SMD1206                         63.50 mm   71.76 mm  270     
R103       33K              R                SMD1206                         50.17 mm   61.60 mm  90      
R104       100              RES              SMD0805-MET                     62.23 mm   108.59 mm 180     
R105       0R0              RES              SMD1206                         64.77 mm   105.41 mm 0       
R106       0.35 FUSE        RES              SMD1206                         64.77 mm   102.24 mm 0       
R107       0.35 FUSE        RES              SMD1206                         64.77 mm   111.13 mm 0       
R108       0.35 FUSE        RES              SMD1206                         64.77 mm   99.06 mm  0       
R109       0.35 FUSE        RES              SMD1206                         66.68 mm   118.11 mm 0       
R110       680R             R                SMD0603                         71.76 mm   72.39 mm  0       
R111       680R             R                SMD0603                         71.76 mm   70.49 mm  0       
R112       680R             R                SMD0603                         71.76 mm   68.58 mm  0       
R113       680R             R                SMD0603                         71.76 mm   66.68 mm  0       
R114       680R             R                SMD0603                         71.76 mm   62.23 mm  0       
R115       33K              R                SMD0603                         60.33 mm   48.90 mm  270     
R116       33K              R                SMD0603                         64.77 mm   48.90 mm  270     
R117       33K              R                SMD0603                         55.88 mm   48.90 mm  270     
R118       100              RES              SMD0805-MET                     65.41 mm   92.08 mm  0       
R119       68K              R                SMD0603                         58.42 mm   48.90 mm  90      
R120       68K              R                SMD0603                         62.87 mm   48.90 mm  90      
R121       68K              R                SMD0603                         53.98 mm   48.90 mm  90      
R122       0R0              RES              SMD1206                         64.77 mm   79.38 mm  0       
R123       0.35 FUSE        RES              SMD1206                         64.77 mm   76.20 mm  0       
R124       0.35 FUSE        RES              SMD1206                         64.77 mm   86.36 mm  0       
R125       100K             R                SMD1206                         85.09 mm   81.92 mm  270     
R126       33K              R                SMD0603                         51.44 mm   48.90 mm  270     
R127       33K              R                SMD0603                         69.22 mm   48.90 mm  270     
R128       68K              R                SMD0603                         49.53 mm   48.90 mm  90      
R129       68K              R                SMD0603                         67.31 mm   48.90 mm  90      
R130       33K              R                SMD0603                         69.22 mm   42.55 mm  270     
R131       220R             R                SMD0603                         69.22 mm   45.72 mm  270     
R132       4K7              R                SMD0603                         69.22 mm   39.37 mm  90      
R133       10K              R                SMD0603                         24.77 mm   5.08 mm   90      
R134       3K3              R                SMD0603                         26.67 mm   5.08 mm   90      
R135       1K2              R                SMD0603                         67.31 mm   45.72 mm  90      
R136       220R             R                SMD0603                         62.23 mm   34.29 mm  270     
R137       680              R                SMD0603                         60.33 mm   34.29 mm  270     
R138       370R             R                SMD0603                         64.14 mm   34.29 mm  270     
R139       1K2              R                SMD0603                         67.95 mm   34.29 mm  270     
R140       1K7              R                SMD0603                         66.04 mm   34.29 mm  270     
R141       1K4              R                SMD0603                         52.71 mm   40.64 mm  270     
R142       2K1              R                SMD0603                         54.61 mm   40.64 mm  270     
R143       33K              R                SMD0603                         58.42 mm   34.29 mm  270     
